child_id,fname,lname,age,family_size,num_of_siblings,parents_working_hours,household_income,access_to_technology,number_of_devices,environment_type,school_type
35,Sharon,Sims,9,3,1,33.30,19272.48,0,0,Urban,PUBLIC
36,Francisco,Warner,7,6,3,,35163.86,0,0,Urban,Public
37,Johnny,Collins,4,6,4,59.40,"18,504.99",1,2,SUB,Public
38,Wesley,Porter,9,2,0,53.80,,0,0, SUB ,public
39,Jenny,Pruitt,14,5,3,22.00,,0,0,Village,Public
40,Latoya,  Montes   ,11,5,3,16.10,24581.18,0,0,RURAL,Public
41,Logan,Austin,16,2,0,36.20,,0,0,Urban,Gov
42,Unknown,Watts,13,8,6,62.90,40029.88,1,5,  rural  ,Priv
43,Marco,Lyons,12,4,2,29.20,17580.04,0,0,Suburban,Home School
44,Isaac,Parsons,17,2,0,40.40,46183.91,0,0,urban,Homeschool
45,Brianna,,10,8,6,30.00,25240.68,0,0,Rural,Private
46,David,Arellano,11,2,0,42.70,14886.45,0,0,Suburban,private 
47,Bridget,Townsend,10,3,1,39.20,18645.0,1,2,Suburban, PUBLIC 
48,Bobby,Aguirre,16,6,4,32.00,19898.68,0,0, Suburban ,Public
49,RAY,Velez,11,6,4,22.30,,0,0,Rural,Public
50,Tami,,8,3,1,40.80,12535.03,,,SUB,home-school
51,Johnny,Vargas,13,8,6,50.90,23008.71,1,2,Rural,Governmental
52,,Conley,8,4,2,34.50,20357.18,1,5,city,PUBLIC
54,Jordan,Gross,12,5,3,44.30,44511.12,1,7,SUBURBAN,unknown
55,Briana,Church,10,2,0,65.80,35048.51,1,5,suburban,private 
56,Monique,Cox,13,4,2,53.00,,0,0,Rural,private
57,Makayla,Garcia,5,4,2,,52707.48,1,3,Urban,PRIVATE
58,Dustin,Patton,11,8,6,45.80,42875.12,1,4,Urban,PRIVATE
59,Dennis,Vincent,9,5,3,,11635.14,0,0, Rural ,public
60,Charles,Bennett,18,7,5,38.40,12929.59,,,Village, Homeschool 
61,Terrance,Ayala,11,3,1,43.90,44368.16,1,3,Suburban,Public
62,Ricardo,Mckinney,8,4,2,24.80,39272.19,0,0,suburban,Public
63,Olivia,Garrison,6,6,4,57.50,,0,0,Urban,public
64,Joanna,Khan,15,4,2,26.10,14719.44,1,1,Suburban,Gov
65,Theodore,Cordova,9,3,1,59.60,43584.57,1,2,  Urban  ,Private
66,Colton,Velazquez,8,5,3,24.00,8992.03,0,0,Rural,PUBLIC
67,Ariana,Bird,12,4,2,39.70,,1,1,Suburban,  private  
68,Marissa,Brown,13,4,2,49.70,,1,-1,Urban,private
69,Ross,Mcpherson,13,6,4,44.30,31423.44,1,3, SUBURBAN , private  
70,Robert,Black,11,4,2,20.30,,0,0,Rural,Public
71,Monica,May,11,2,0,51.90,28200.03,0,0,Suburb,international
72,Reginald,Hansen,11,7,5,39.70,52524.61,0,0,Urban,Int.
73,Brianna,Thomas,12,6,4,48.60,27021.84,1,2,Suburban,Private
74,Megan,Sanders,12,6,3,65.50,,0,0, Urban ,  Public  
75,valerie,Duran,14,10,8,40.10,19155.07,1,3, Urban ,Homeschool
76,Dennis,Jenkins,11,2,0,42.30,17188.25,1,1,Suburban,?
77,Gabriel,Bradford,8,8,6,33.10,48939.07,1,2,city,Gov
78,Tonya,Johnson,10,4,2,,17298.34,,,Suburban,public
80,RILEY,Cohen,4,4,2,40.00,25122.45,0,0,city, International 
81,Donna,Perry,4,6,4,46.70,30418.55,1,7,Suburban,Public
82,Jeffrey,Lin,14,3,1,31.50,45806.48,1,2,Suburban,PRIVATE
84,Unknown,Pace,6,7,4,50.10,31150.48,1,2,Urban,Gov
85,Rodney,Wolfe,11,5,3,41.20,36762.72,1,2,  Suburban  ,Private
86,Brent,Garcia,9,4,2,37.50,18330.92,0,0,Rural,Public
87,Ellen,Carroll,10,3,1,58.80,36124.93,1,2,Urban,  Priv  
88,Levi,Gordon,12,2,0,29.40,26828.69,1,2,city,Public
89,Victor,Short,6,4,2,26.10,21216.68,1,1,  rural  ,Public
90,Mario,Wu,7,3,1,,19901.34,1,,Urban,Governmental
91,Marco,Randolph,9,9,7,69.20,50972.78,1,2,Rural,Private
92,Ariana,Joseph,10,8,6,38.80,,1,,Rural,Public
93,  Francis   ,Black,6,5,3,43.70,40700.17,0,0,Urban,Private
94,bruce,faulkner,13,3,1,46.90,35445.5,1,, Urban ,Gov
95,Kellie,Lee,9,5,2,36.30,21040.51,1,4,countryside,PVT
98,Tanner,Owens,10,6,4,41.00,approx 41.5k,1,1,city,Public
99,Joel,Stokes,14,7,5,63.20,53506.08,1,4,Sub-urban,Private
100,Veronica,Norman,7,2,0,,19363.13,0,0,RURAL,  Public  
101,MIGUEL,Mcdonald,5,6,4,52.70,39850.82,1,3,Suburban,international
102,Diane,Ayala,9,6,4,31.10,23109.99,0,0,Urban,Public
103,krystal,Marquez,11,8,6,35.60,30710.67,1,8,Sub-urban,International
104,Unknown,Andrews,6,4,2,46.00,50217.2,0,0,SUB,Private
105,Calvin,Hopkins,6,6,4,,25022.96,1,1,Urban,Public
106,Francis,Roberts,11,2,0,42.10,49126.06,1,2,Suburban,Private
107,Stacy,Nunez,8,3,1,21.30,,,,SUBURBAN,public
108,Lauren,Gomez,5,6,4,44.70,21223.16,1,3,Urban, Public 
109,Robert,Bell,14,4,2,42.70,23161.67,1,2, Rural ,Public
110,Colton,Gardner,8,2,0,59.90,,1,,Urban,International
111,Yolanda,rodgers,15,2,0,24.20,29966.96,1,3,unknown,Private
112,Clayton,Haley,11,4,2,27.50,,0,0,Urban,Public
113,Sheri,Mcclure,12,7,5,40.60,83620.45,1,5,URB,International
114,Angela,Bray,10,5,3,18.10,27740 EGP,1,2, city ,Governmental
115,Jonathan,Oliver,3,3,1,,42857.18,1,3,city, PVT 
116,Shelly,Ochoa,6,2,0,34.20,21291.57,1,,SUBURBAN,PUBLIC
117,Ethan,Jimenez,10,8,6,36.10,27674 EGP,1,3,NA,PUB
118,Holly,Carroll,12,2,0,,21825.53,1,4,  Urban  ,Public
119,  Bradley   ,COLLINS,4,2,0,35.50,88583.77,1,1,Suburban,Private
120,Gerald,Duncan,10,3,1,41.00,49275.26,1,1,SUBURBAN,Homeschool
121,Emily,Keller,6,5,3,,67674.7,1,8,Suburban,Private
122,Miranda,Hall,11,4,2,18.50,11118 EGP,1,4, Rural ,public
123,Wanda,Buchanan,10,2,0,27.70,,,,  city  ,Public
124,Laura,Chan,13,3,1,45.80,25307.98,0,0, URBAN ,HOMESCHOOL
125,Phyllis,MORGAN,14,3,1,69.80,118664.99,1,3,  urban  ,Homeschool
126,Kelsey,Gonzalez,12,3,1,51.00,24908.63,1,1,Urban,
127,Dana,Dominguez,14,2,0,46.00,45637.43,1,3,suburban, PUBLIC 
128,Mercedes,Ray,9,7,5,58.00,16921.42,0,0,Urban,PUB
129,Lauren,Bowman,18,3,1,29.70,16220.74,0,0,Suburban,public
130,Cody,glover,6,6,4,50.90,16417.68,1,1, Rural ,Unknown
131,Richard,Mccullough,9,7,4,54.00,81660.99,1,3,Suburban,Intl
132,Chelsea,French,14,6,4,,46869.76,1,2,Suburban,Priv
133,Kathleen,Cordova,13,5,2,58.50,"8272,95",0,0,suburban,Governmental
134,Anita,Marquez,12,3,1,,,0,0,NULL,unknown
135,Gloria,Solomon,13,3,1,34.90,,1,, Suburban ,  Public  
136,William,Camacho,3,4,2,,20437.79,1,1,City,Public
137,Dennis,Gaines,25,4,2,57.00,39368.24,1,5,Urban,Priv
138,Roger,Collier,10,4,1,31.30,64160.28,1,3,Urban,private 
139,Terri,Greene,15,8,6,58.30,53749.85,1,7,  SUB  ,Private
140,Peggy,Nicholson,3,4,2,19.00,35680.57,1,2,Urban,  Public  
141,Cheryl,Campos,11,8,6,48.30,35957.38,1,7,Urban,Governmental
142,Cody,Joyce,8,9,7,35.30,62343.62,1,3,Urban,International
143,Jerry,Hicks,13,5,3,33.90,,,,Suburb,Public
144,Dean,Contreras,12,3,1,43.30,81230.44,1,7,City,Private
145,Kelsey,Taylor,12,4,2,43.10,19835.13,0,0,URB,Gov
146,Sylvia,Phelps,7,2,0,45.30,,1,3,NULL,Gov
147,Maureen,Escobar,10,5,3,56.20,22630.66,1,-4,urban,  Public  
148,Breanna,,10,4,2,24.70,,1,1,Suburban,  Public  
149,Sue,Nichols,12,5,2,44.80,38325.65,1,4,City,private 
150,Molly,Barr,14,4,2,,33863.55,1,1,URBAN,INTERNATIONAL
151,Beth,THORNTON,11,6,4,35.40,16188.13,,,Rural,PUBLIC
152,Trevor,Knight,6,5,3,43.00,27338.03,1,4,City,Public
153,Victor,Mcclure,11,4,2,43.70,59235.18,1,1,Suburban,PUBLIC
154,Tanner,Mcgee,18,3,1,65.60,85480.34,1,4,Sub-urban,PRIVATE
155,George,Todd,16,5,3,55.10,59224.85,1,3,Urban, PRIVATE 
156,Joy,Dean,3,2,0,49.60,approx 34.6k,1,,Urban,Gov
157,Glen,Hobbs,11,4,2,62.50,12082.38,0,0,Urban,Public
158,Marcia,Cherry,99,5,3,42.70,41979.46,1,2,n/a,International
159,Spencer,Graves,10,5,3,53.30,43013.3,1,, Urban ,Public
160,Anthony,Buckley,9,5,3,36.80,39113.9,1,5,SUBURBAN, Governmental 
161,,Ellis,10,3,1,38.80,,1,2,city,Public
162,Pamela,Gutierrez,12,5,3,41.80,,1,1,  Urban  ,Private
163,Melissa,Blackburn,6,5,3,47.40,approx 60.4k,1,4,  SUB  ,private 
164,Wesley,Valencia,15,4,2,48.10,17318.97,1,4,URBAN, Public 
165,Tony,Yates,10,2,0,43.70,37293.02,1,1,Suburban,Priv
166,Jonathon,Valentine,7,4,1,44.00,19025.26,1,2, City ,  private   
167,Leslie,Barron,15,7,5,34.60,24164.78,0,0,Suburban,Governmental
168,Vanessa,Medina,5,8,6,24.30,,,,RURAL,Private
169,Rachel,Holden,9,6,4,38.90,21101.69,1,2,Suburban,  Public  
171,Javier,Campos,18,3,1,55.10,37300.1,1,5,URB,Public
172,Marilyn,Gardner,8,2,0,48.60,,1,2,URB,Public
173,Russell,frank,3,3,1,43.00,58040.58,1,7, Urban ,Priv
174,Danny,Monroe,8,5,2,42.60,20773.19,1,1,city,Homeschool
175,Joseph,Humphrey,12,5,3,40.60,,0,0,Rural,Homeschool
176,Shane,Chan,13,3,1,26.30,approx 16.3k,1,-2,City,Public
177,Maxwell,Melton,18,3,1,39.70,27976.54,0,0,urban,Public
178,Meredith,Haynes,16,4,2,38.20,,0,0,RUR,  home-school  
179,Judith,Stark,11,2,0,48.60,17900.87,1,1,  City  ,Public
180,Mathew,Stokes,7,4,2,26.30,34804.72,0,0,Suburban,PUB
181,Anne,Anderson,16,3,1,,27291.62,1,1,Urban,International
182,Morgan,Nixon,9,6,4,52.30,18674.29,,,Rural,  Public  
184,Carly,Reese,9,4,2,50.20,"20,227.08",0,0,SUBURBAN,Public
185,Paige,Hopkins,6,2,0,49.40,40847.83,1,3,  Sub-urban  ,Priv
186,Jeffery,Watson,9,7,5,,"37933,24",1,2,Rural,Private
187,Sonya,Washington,10,7,5,41.20,,1,7,Rural,International
188,marvin,Fisher,13,8,6,25.50,23075.47,1,2,Suburban,Private
189,Scott,Hardy,9,5,3,38.10,17414.11,0,0,Urban,public
190,Audrey,Jennings,6,2,0,46.30,20121.37,0,0,Urban,  Private  
191,Melanie,Hunter,5,7,5,47.50,,,,Rural,Public
192,Curtis,Salazar,11,4,2,34.50,37320.96,1,6,  suburban  ,  Public  
193,Amy,Ortega,11,6,4,38.50,25885.73,1,3,Rural,Governmental
194,April,Evans,9,4,2,,27298.01,1,3,Suburban,Public
195,KELLI,Oconnell,9,2,0,,,,,Urban,public
196,Patty,Mckinney,12,5,3,40.30,"24,320.96",1,1,Urban,Public
197,,Austin,16,4,2,50.30,63522.06,1,1,  URBAN  ,  Int.  
198,Omar,Mendez,8,4,2,,35786.11,1,1,Suburban,PVT
199,Madeline,Moreno,11,4,2,20.00,39366.74,1,2,Suburban,Public
200,Unknown,Estrada,14,4,2,,approx 183.4k,1,8,Urban,International
201,Derek,Sanders,8,3,1,41.50,30651.63,1,2, Suburban ,Gov
202,Stacy,West,19,4,2,24.80,9070.12,,, Urban ,Public
203,Michelle,Pearson,10,2,0,63.20,16226.4,,,Urban,Public
204,Breanna,Gamble,6,7,5,60.10,35173.76,1,1,Urban,Public
205,Kristina,,11,2,0,45.50,25856.22,1,1, Suburban ,Public
206,Tammy,Ross,11,4,2,,27049.04,1,3,Urban,Public
207,Hunter,Cowan,12,4,2,58.30,23507.21,1,1,Suburban,Governmental
208,Karla,Ochoa,6,5,3,49.90,,1,3,Rural,PUB
209,  Kimberly   ,Jenkins,11,5,2,39.90,31432.51,1,,SUB,PUBLIC
210,Olivia,Cook,15,2,0,45.60,36934.39,1,1,RUR, Private 
211,Jody,Yoder,18,3,1,55.20,"77,094.43",1,6,urban,Private
212,Unknown,Bowman,15,5,2,40.50,"$75,901",1,7,URBAN,private 
214,Rebecca,Jones,12,3,1,51.20,25308.7,1,1,Suburban,PVT
215,MARIO,West,9,5,3,37.00,25018.93,0,0,Urban,  International  
216,Brandon,Perkins,12,9,7,90.00,23755.88,0,0,Rural,  Governmental  
217,Angel,Ingram,8,2,0,36.50,24453.22,1,2,Sub-urban,Public
218,Tanya,Conway,4,2,0,,22604.51,0,0,Sub-urban,Public
219,Sandra,Clayton,9,4,2,42.00,,1,6,urban,  PRIVATE  
220,Rose,Webb,13,7,5,37.40,27013.94,1,2,SUB,Public
221,Sarah,decker,12,5,3,48.20,31834.34,1,1,Urban,Governmental
222,Catherine,Valdez,12,2,0,44.90,32121.5,0,-3,Suburban,Private
223,Sara,Powers,11,3,1,44.80,37119.83,1,4, Suburban , Public 
224,Mario,Norman,12,2,0,47.70,43263.98,1,6, Urban ,  home-school  
225,Kendra,,12,6,4,,,0,0,Rural,public
226,Cameron,Gilbert,10,4,2,52.10,12618.4,0,0,Suburban,Public
227,Devon,Frye,11,4,2,,30590.79,1,2,SUB,Gov
228,Latasha,Moore,17,5,3,55.60,28104.68,1,1, Urban ,Public
229,Jean,Wu,11,2,0,39.40,25197.92,0,0,Urban,Gov
230,Lisa,Owen,11,6,4,38.10,45106.4,0,0,Urban,public
231,Gail,Smith,11,6,4,,52213.62,1,3,Suburban, Priv 
232,Leonard,Richards,10,2,0,38.60,21472.59,0,0,URBAN,private
233,Logan,Dennis,9,5,3,36.60,43382.68,1,1,  RUR  ,international
234,Jean,Pierce,11,9,7,21.70,,0,0,countryside,Homeschool
235,Alan,Farmer,9,6,4,42.50,41136.2,1,3, URB ,Priv
236,Kyle,Armstrong,10,9,7,22.80,approx 15.7k,,,  SUB  ,Private
237,Caroline,Owens,8,2,0,48.10,20890 EGP,0,0,Urban,Public
238,Hunter,Collins,11,5,3,29.80,30731.51,1,,Urban,Public
239,Unknown,Snow,13,6,4,51.20,23876.44,1,3,Urban,Intl
240,Kyle,Joyce,10,8,6,46.30,"3,551.76",0,0,Rural,Gov
241,Robert,Wilcox,3,11,9,39.80,24011.98,0,0,Rural,Public
242,Keith,Clayton,19,2,0,23.50,45655.0,0,0,NULL,Public
243,Monica,Liu,11,5,3,62.60,27212.05,1,1,City,PUBLIC
244,Madeline,Cunningham,7,10,8,42.70,"$26,061",1,1,city,Public
245,Gabriella,Byrd,13,5,3,50.30,20845.86,0,0,  Suburban  ,Public
246,Alvin,Becker,5,5,3,23.80,11599.23,0,0,Urban,Public
247,Gavin,Robertson,14,4,2,51.60,6313.79,,,countryside,Public
248,Guy,Woods,10,8,6,18.30,26688.75,0,0,Rural,PUBLIC
249,Rose,Velez,3,7,5,29.50,53401.03,0,0,Urban,
250,Wanda,Stevenson,11,2,0,56.90,23819.41,1,3,countryside,Public
251,Michaela,Bridges,9,4,2,30.90,31526.68,1,2,NULL,Public
252,Lindsey,Sosa,8,2,0,54.30,39359.62,1,1,Suburban,
253,Fred,Barrett,8,2,0,51.10,37943.77,1,5,suburban,PVT
254,Troy,Avila,10,3,1,49.00,19305.88,1,1,Urban,Public
255,tammy,Anderson,9,2,0,,28921.87,1,2,Suburban,PUB
256,Christopher,Parker,4,2,0,30.30,25264.61,1,1,urban,Homeschool
257,Cindy,Fisher,15,2,0,60.80,21904.02,1,1,SUB,public
258,Kent,Charles,10,6,4,45.10,55665.32,1,4,Urban,Int.
259,Brianna,Diaz,8,5,3,56.20,70690.31,1,2,urban,International
260,Tammie,Frank,6,7,5,56.20,8180.53,0,0,Urban,Public
261,Cassandra,Riley,13,3,1,43.60,25840.78,0,0,Urban,Public
263,,Munoz,11,2,0,24.30,56320.25,1,4,Urban,private
264,Laura,Hardin,8,6,4,56.10,,,,N/A,  Homeschool  
265,Chase,Dunn,9,5,3,28.20,,0,-4,Suburb,Public
266,Wendy,Chen,7,3,1,32.20,46700.69,1,4,Urban,Homeschool
267,April,,8,3,1,74.20,29132.62,1,2,Rural,Private
268,Shelia,Miller,11,11,9,20.60,6430.44,0,0,Rural,Public
269,Kelli,Neal,11,2,0,31.80,27766.32,1,1,City,PVT
270,Erik,Montes,8,5,3,58.00,59373.29,1,2,Suburban, PRIVATE 
271,  Brianna   ,Boyd,10,9,7,50.00,16433.48,0,0,Urban,PUB
272,Ryan,Nash,14,4,2,40.00,27053.68,1,2,Suburban,Private
273,Tracey,Sheppard,5,2,0,30.00,33839.34,0,0,Suburban,private 
274,Fred,Deleon,10,3,1,35.60,,1,2,Urban,PUB
275,Margaret,Martinez,7,5,3,37.00,,1,5,  Sub-urban  ,public
276,Cassie,Kirby,7,4,2,25.20,11731.58,0,0,Urban, Public 
277,Caitlyn,Unknown,11,6,4,,23376.99,1,2,Suburb,Private
278,Kimberly,Tyler,9,4,1,54.60,19243.98,0,0,Urban,Public
279,Randy,Daniel,6,3,1,50.10,"$28,688",1,,Suburban,Gov
280,Phillip,Frederick,15,5,2,52.80,36284.79,1,3,-,Public
281,Grant,Glass,14,6,4,42.00,"$63,815",1,5,Urban,International
282,Debra,Maldonado,4,5,2,38.60,92295.85,1,,Suburban,  PVT  
283,Mia,Skinner,5,5,3,62.00,33330.72,1,-4,city, public 
284,Erik,MOSLEY,13,4,2,33.70,21502 EGP,1,1,n/a,Public
285,Nancy,Thompson,9,3,1,27.50,20825.51,1,,  Suburban  , PUB 
286,Donald,Mcgee,16,5,3,43.70,17488.93,1,6,URBAN,PUB
288,Cynthia,Howard,12,4,2,34.00,22647.83,0,0,Urban,Public
289,Anna,Middleton,7,4,2,,34027.65,1,3,Suburb,Public
290,Peggy,Campos,12,4,2,26.70,15318.79,0,0,SUBURBAN,Public
291,Joyce,Durham,6,6,4,45.60,23009.39,0,0,URB,  PUBLIC  
292,Colton,Dodson,15,6,4,34.60,37714.29,1,2,urban,Public
293,Unknown,Rivera,12,6,4,54.90,,0,0, Rural , PUB 
294,Jose,Gray,8,4,1,47.50,10340.5,,,Urban,public
295,Terrance,Mcdaniel,13,6,4,45.10,29485.21,1,2,Urban, Public 
296,Barry,Salinas,18,2,0,40.70,16465.53,1,6,Suburban,Public
297,Kristi,Anderson,10,2,0,63.20,56941.87,1,2,city,International
298,Bradley,Goodwin,12,6,4,58.50,29263.93,1,1,Rural,Public
299,Cesar,,9,5,3,51.60,8470.87,1,2,Urban,public
300,Deborah,Johnson,11,9,7,54.50,26657.46,1,4,Rural,Int.
301,Renee,Bailey,5,5,3,41.10,36831.72,1,2,URB,Public
302,Joyce,Cole,10,4,2,60.80,,,, Urban ,Public
303,RACHEL,West,11,3,1,46.90,48198.25,1,1,  Urban  ,PUBLIC
305,Bonnie,Leon,4,6,4,41.40,48048.1,1,3, Suburban ,  Private  
306,Chris,Humphrey,9,5,3,33.60,20839.31,1,,urban,Public
307,Karen,,15,2,0,37.00,,0,0,Rural, Public 
308,Donna,Rivera,10,4,2,41.30,95455.11,1,3,urban,Private
309,Jared,Good,10,8,6,32.80,12702.06,0,2,URB,Public
310,Caitlin,Collier,8,2,0,55.40,19085.55,0,6,Urban,Public
311,Cristian,Clay,7,7,5,,,1,2,Rural,NULL
312,Dylan,Caldwell,4,6,4,47.90,23141.49,1,1, Urban ,Public
313,Shelley,Newman,8,5,3,29.10,43666.21,1,4,Urban,  PRIVATE  
314,Brittney,Holland,7,5,3,66.70,17709.41,,,Rural, International 
315,Alan,Warner,11,4,2,37.40,44460.95,1,3,Suburban,Governmental
316,Ross,Whitaker,8,9,7,42.70,36481.28,1,1, Urban ,Governmental
317,Kaitlin,Pena,9,2,0,38.20,,,,Suburban,Public
318,STEPHEN,Hobbs,9,7,5,48.40,40232.14,1,2,Urban,Private
319,Joel,Unknown,10,6,4,44.20,,0,0,Suburban,Governmental
320,Jessica,Burke,9,3,1,36.10,21087.89,0,0,urban,Public
321,Victor,Reed,7,2,0,,80061.39,1,2,SUB,Priv
323,Cristina,Molina,14,5,3,,49908.65,1,1,urban,Private
324,Jean,Martinez,11,7,5,,50874.4,1,3,URB,Public
325,Haley,Perkins,8,7,5,69.30,23599.26,1,3,  Urban  ,Gov
326,Marcia,Gilmore,10,4,2,64.40,36256.06,0,0,Suburban,PUBLIC
327,Sherri,Zavala,3,2,0,52.50,30449.19,1,-4,Suburban,Public
328,Michaela,Santos,10,5,3,48.80,18838.09,1,1,Suburban,public
329,Jenny,Williams,9,2,0,40.00,,0,0,Rural,Gov
330,Grace,Cantrell,7,8,6,43.20,17384.38,1,,  Rural  ,Governmental
331,Jesse,Haas,8,3,1,38.60,23690.07,0,0, Rural ,Public
332,Katie,Briggs,9,4,2,,25820.75,1,5, Suburb ,Public
333,Jim,,14,3,1,,26895.89,1,1,Urban,Public
334,Caleb,Jennings,2,2,0,,25979.08,1,2,Suburban,Public
335,,Marshall,7,8,6,40.50,"25,391.29",1,4,City,Private
336,Jeffery,Weber,9,6,4,49.30,69711.85,1,4,Urban,Int.
337,Antonio,Le,9,3,1,49.80,34497.17,1,3,URB,Public
338,Dylan,Golden,13,4,2,44.30,22752.85,1,1,URB,Private
339,Ellen,Mueller,11,2,0,39.10,,,,SUB,Public
340,,Bauer,11,2,0,35.70,26676.42,0,-2,URBAN,  Public  
341,Martin,Rodgers,12,5,3,42.10,21649.7,1,,Urban,Public
342,Jack,Barr,8,7,5,41.80,,,,Village,Governmental
343,Bill,Mccormick,15,2,0,38.40,42977.68,1,1,Suburban,null
344,Earl,Rios,10,2,0,40.00,31065.55,1,2, Urban ,PUBLIC
345,Unknown,Richmond,7,6,4,17.50,11785.85,0,3,Urban,Public
346,Nathan,Turner,10,3,1,67.40,41787.71,1,3,  URBAN  ,Public
347,,Morrison,15,3,1,,,0,0,Rural,PUB
348,Clayton,Unknown,9,6,4,53.40,,1,1,Urban,Public
349,Henry,Unknown,14,4,2,45.80,,0,,countryside,Public
350,Kaitlin,Clayton,8,2,0,34.40,31188.32,1,2,Urban,Public
351,Sheila,Parker,8,6,4,52.60,25242.93,1,,null,Gov
352,Jeff,Burgess,13,2,0,48.10,27406.36,1,4,Urban,Public
353,Laurie,Haley,7,2,0,29.80,28716.82,0,0,Sub-urban,  Private  
354,Felicia,Montoya,13,5,2,39.00,31102.28,1,2,Urban,Public
355,Kiara,Mccormick,12,6,4,,83145.81,1,9,Urban,Private
356,Ruben,Wiggins,7,7,5,46.60,19402.78,1,1,countryside,Public
357,Breanna,Callahan,10,3,1,50.10,29317.87,1,,Suburban,  Public  
358,Alyssa,Allen,9,8,6,34.60,20125.91,1,2,URBAN,PUB
359,Kent,Carroll,12,4,2,49.20,31555.16,0,0,Suburban,Gov
360,Jesse,Hull,17,2,0,37.30,,1,2,City,Public
361,Latasha,Colon,9,5,3,46.30,approx 32.3k,1,1,Rural,PUBLIC
362,Gloria,Duncan,12,9,7,44.50,,0,0,Urban,Gov
363,Angela,Barr,11,4,2,,18694.56,,,Urban,  homeschool  
364,Brandy,Vincent,11,10,8,32.90,12136.55,0,0,N/A,Public
365,Colin,Norris,10,4,2,27.90,37451.58,1,7,Urban,Int.
366,Connor,Frey,7,3,1,36.90,13587.01,1,1,Rural,Public
367,Jeffrey,Gillespie,12,6,4,46.00,43358.59,1,3,  Urban  ,Public
368,Mike,Sloan,9,5,2,18.00,17386.08,1,2,urban,public
369,Penny,Hendrix,7,3,1,,34279.8,0,0,Suburb,Private
370,Sheryl,Garza,14,5,3,37.20,40901.01,1,2,Urban,International
371,Vanessa,Harper,11,4,2,,33405.93,1,1,URBAN,PUBLIC
372,Gina,Turner,10,5,3,32.20,26029.36,1,1,  Suburban  ,PUBLIC
373,,Rocha,15,2,0,,32063.05,1,1,URBAN,Private
374,Casey,Joyce,4,4,2,23.00,,0,0, Rural ,PUB
375,Kathy,Herman,15,9,7,45.00,,0,0,  Sub-urban  ,  Public  
376,  Phyllis   ,Reeves,7,4,2,55.40,40099.93,1,2, city ,  PUB  
377,Robert,Walsh,11,2,0,,24275.43,1,1,Urban,Governmental
378,Maria,Unknown,8,6,4,46.60,38153.23,1,3,Urban, Public 
379,Trevor,Park,7,2,0,,60056.66,1,8,Suburban,International
380,Erica,Martinez,15,3,0,37.10,19901.76,1,1,Suburban,Public
381,Sheri,Armstrong,17,3,0,39.80,18397.14,0,0,SUBURBAN,PUBLIC
